[097]( 85, 69)to( 92,137): alpha=6.419783 p=1 th=-394929.839493 sum=-822527.430539
[098]( 85, 49)to( 99, 89): alpha=5.863679 p=0 th=8766.906517 sum=209097.254077
[099](188,117)to(202,131): alpha=5.904174 p=1 th=-10402.587422 sum=-291019.959374
[100](113,186)to(125,207): alpha=5.063730 p=1 th=-35543.114459 sum=-161791.842333
[101]( 78, 69)to(106,151): alpha=4.975057 p=1 th=-2031002.300358 sum=-3306024.876186
[105]( 85, 76)to( 92,144): alpha=5.602249 p=1 th=-355974.330639 sum=-1146624.507272
[107](195, 55)to(223,165): alpha=6.848141 p=0 th=622624.878906 sum=2458781.284783
[110](120,159)to(175,171): alpha=9.825574 p=0 th=156752.125962 sum=325197.202587
[111]( 85, 62)to( 99, 90): alpha=10.134514 p=0 th=8708.450352 sum=84416.323901
[114]( 71, 76)to(113,144): alpha=15.233634 p=1 th=-2001352.467165 sum=-3958986.241687
[118]( 85, 49)to(106,171): alpha=6.363622 p=1 th=-2464600.473958 sum=-4390822.310436
[120]( 78,159)to(160,199): alpha=6.472942 p=0 th=674902.556476 sum=917504.962644
[121]( 85, 69)to( 92,137): alpha=6.236035 p=1 th=-394929.839493 sum=-822527.430539
[123](120, 69)to(132,151): alpha=6.180045 p=1 th=-117645.270094 sum=-210490.746826
[125]( 85,110)to(223,124): alpha=6.035869 p=1 th=-420245.950781 sum=-1717149.775410
[126](181, 69)to(223,131): alpha=6.535731 p=0 th=824004.800781 sum=6888034.658402
[128](140,104)to(168,165): alpha=5.749972 p=0 th=22809.828164 sum=4638057.260801
[129]( 85, 76)to( 92,144): alpha=10.287097 p=1 th=-355974.330639 sum=-1146624.507272
[130]( 99,159)to(139,179): alpha=9.986517 p=0 th=45587.925877 sum=198756.071044
[131]( 71, 83)to(139,109): alpha=12.219830 p=1 th=-561533.638201 sum=-3164548.691299
[132](126,172)to(140,200): alpha=12.746772 p=1 th=-115966.541797 sum=-508991.562010
[134](113,186)to(125,207): alpha=11.548222 p=1 th=-35543.114459 sum=-161791.842333
[136]( 85, 76)to( 92,144): alpha=7.616330 p=1 th=-355974.330639 sum=-1146624.507272
[137]( 99, 83)to(113, 97): alpha=7.256621 p=1 th=-27096.139727 sum=-39237.822143
[139](147,104)to(161,110): alpha=6.375561 p=0 th=23363.809648 sum=74735.216382
[143]( 85, 76)to( 92,144): alpha=5.569441 p=1 th=-355974.330639 sum=-1146624.507272
[144](120,117)to(132,213): alpha=6.182704 p=0 th=77582.009477 sum=427508.907054
[145](188,124)to(216,145): alpha=6.386937 p=0 th=47509.515625 sum=2092219.350067
[146]( 78, 97)to(113,137): alpha=9.417681 p=1 th=-708472.983994 sum=-1693827.107295
[149]( 85, 76)to( 92,144): alpha=8.849740 p=1 th=-355974.330639 sum=-1146624.507272
[150]( 78, 90)to( 99,104): alpha=9.484109 p=1 th=-18174.270898 sum=-120133.743310
[151](195, 55)to(223,165): alpha=9.173491 p=0 th=622624.878906 sum=2458781.284783
[152](106,110)to(113,124): alpha=11.233399 p=1 th=-41541.190625 sum=-48918.929663
[156](120, 76)to(132,130): alpha=10.071326 p=1 th=-134064.914712 sum=-454058.611009
[157]( 85, 76)to( 92,144): alpha=10.546072 p=1 th=-355974.330639 sum=-1146624.507272
[159](147,104)to(223,130): alpha=5.875651 p=1 th=-729218.859086 sum=-3058569.900650
[160](126,159)to(175,171): alpha=5.316930 p=0 th=124084.481971 sum=286252.747338
[161]( 99, 49)to(113,200): alpha=5.728150 p=1 th=-215165.933984 sum=-333778.184252
[162](147, 76)to(229,110): alpha=6.031413 p=0 th=1236678.677711 sum=11161656.894473
[163]( 65, 83)to(161,109): alpha=6.608936 p=1 th=-734901.412616 sum=-3496346.649013
[166]( 85, 69)to( 92,137): alpha=7.025818 p=1 th=-394929.839493 sum=-822527.430539
[167](147,104)to(223,130): alpha=5.635336 p=1 th=-729218.859086 sum=-3058569.900650
[168](113,193)to(126,207): alpha=5.791112 p=0 th=4667.512137 sum=56986.519263
[170]( 78, 49)to(106,171): alpha=5.401195 p=1 th=-3111214.329141 sum=-7127128.677444
[171]( 71, 83)to(139,109): alpha=5.930021 p=1 th=-561533.638201 sum=-3164548.691299
[174]( 85, 76)to( 92,144): alpha=5.575834 p=1 th=-355974.330639 sum=-1146624.507272
[175](147,104)to(223,130): alpha=5.491269 p=1 th=-729218.859086 sum=-3058569.900650
[178]( 78, 49)to(106,171): alpha=8.732975 p=1 th=-3111214.329141 sum=-7127128.677444
[179]( 71, 83)to(139,109): alpha=8.735469 p=1 th=-561533.638201 sum=-3164548.691299
[181]( 85, 69)to( 92,137): alpha=8.053507 p=1 th=-394929.839493 sum=-822527.430539
[182]( 85,110)to(223,124): alpha=8.328949 p=1 th=-420245.950781 sum=-1717149.775410
[185](168,117)to(175,131): alpha=8.896801 p=1 th=-15877.331680 sum=-45105.160034
[186]( 78, 49)to(106,171): alpha=7.954891 p=1 th=-3111214.329141 sum=-7127128.677444
[187]( 71, 90)to(153,104): alpha=8.025051 p=1 th=-143642.430233 sum=-1641754.483515
[189]( 85, 76)to( 92,144): alpha=7.954516 p=1 th=-355974.330639 sum=-1146624.507272
[190]( 85,110)to(223,124): alpha=7.954406 p=1 th=-420245.950781 sum=-1717149.775410
[193](181, 69)to(223,152): alpha=4.955907 p=0 th=490910.234375 sum=9322173.124044
[198]( 85, 76)to( 92,144): alpha=6.652826 p=1 th=-355974.330639 sum=-1146624.507272
[199](147,104)to(223,130): alpha=6.622987 p=1 th=-729218.859086 sum=-3058569.900650
