Stage 2 => Total: 3630, Pass: 2187, noPass: 1443, PassRate: 0.602479
Stage 3 => Total: 2187, Pass: 1092, noPass: 1095, PassRate: 0.499314
Stage 4 => Total: 1092, Pass: 1027, noPass: 65, PassRate: 0.940476
Stage 5 => Total: 1027, Pass: 849, noPass: 178, PassRate: 0.826680
Stage 6 => Total: 849, Pass: 620, noPass: 229, PassRate: 0.730271
Stage 7 => Total: 620, Pass: 583, noPass: 37, PassRate: 0.940323
Stage 8 => Total: 583, Pass: 556, noPass: 27, PassRate: 0.953688
Stage 9 => Total: 556, Pass: 529, noPass: 27, PassRate: 0.951439
Stage 10 => Total: 529, Pass: 495, noPass: 34, PassRate: 0.935728
Stage 11 => Total: 495, Pass: 472, noPass: 23, PassRate: 0.953535
Stage 12 => Total: 472, Pass: 457, noPass: 15, PassRate: 0.968220
Stage 13 => Total: 457, Pass: 439, noPass: 18, PassRate: 0.960613
Stage 14 => Total: 439, Pass: 419, noPass: 20, PassRate: 0.954442
Stage 15 => Total: 419, Pass: 406, noPass: 13, PassRate: 0.968974
Stage 16 => Total: 406, Pass: 342, noPass: 64, PassRate: 0.842365
Stage 17 => Total: 342, Pass: 324, noPass: 18, PassRate: 0.947368
Stage 18 => Total: 324, Pass: 317, noPass: 7, PassRate: 0.978395
Stage 19 => Total: 317, Pass: 296, noPass: 21, PassRate: 0.933754
Stage 20 => Total: 296, Pass: 282, noPass: 14, PassRate: 0.952703
Stage 21 => Total: 282, Pass: 277, noPass: 5, PassRate: 0.982270
Stage 22 => Total: 277, Pass: 273, noPass: 4, PassRate: 0.985560
Stage 23 => Total: 273, Pass: 272, noPass: 1, PassRate: 0.996337
Stage 24 => Total: 272, Pass: 264, noPass: 8, PassRate: 0.970588
Stage 25 => Total: 264, Pass: 263, noPass: 1, PassRate: 0.996212
Stage 26 => Total: 263, Pass: 263, noPass: 0, PassRate: 1.000000
Stage 27 => Total: 263, Pass: 251, noPass: 12, PassRate: 0.954373
Stage 28 => Total: 251, Pass: 251, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 251, Pass: 221, noPass: 30, PassRate: 0.880478
Stage 30 => Total: 221, Pass: 217, noPass: 4, PassRate: 0.981900
